filename,n,greedy_cost,min_cost_flow_cost,greedy_time,min_cost_flow_time,priority_cost,priority_time
input/fake_instances/fake_296_3.csv,296,2647.48,1782.77,0.392417,21.7853,2004.61,21.7375
input/fake_instances/fake_352_2.csv,352,3223.21,2070.71,0.549208,70.7486,2255.45,65.1084
input/fake_instances/fake_276_6.csv,276,2897.28,1950.06,0.352458,20.1557,2126.33,19.8035
input/fake_instances/fake_94_9.csv,94,1227.55,815.255,0.049875,4.24425,889.118,3.41463
input/fake_instances/fake_317_2.csv,317,2581.24,1768.6,0.471292,22.043,1938.96,23.7875
input/fake_instances/fake_233_6.csv,233,2067.77,1485.26,0.2435,13.6656,1625.12,12.6929
input/fake_instances/fake_331_1.csv,331,3070.81,2047.41,0.455292,25.6565,2237.8,24.349
input/fake_instances/fake_215_5.csv,215,2043.72,1534.15,0.228667,11.5842,1672.33,9.30117
input/fake_instances/fake_109_0.csv,109,1533.18,1119.75,0.065542,2.4775,1205.5,2.62312
input/fake_instances/fake_304_8.csv,304,2505.35,1764.33,0.420417,18.9917,1926.86,28.8915
input/fake_instances/fake_374_1.csv,374,2854.37,1930.47,0.581458,33.8669,2103.74,36.1109
input/fake_instances/fake_179_9.csv,179,1994.93,1315.73,0.15,7.39225,1413.25,6.68446
input/fake_instances/fake_87_3.csv,87,1399.72,1095.16,0.04525,1.90171,1183.58,2.21279
input/fake_instances/fake_250_5.csv,250,2149.76,1455.27,0.2855,14.6906,1611.44,14.7397
input/fake_instances/fake_341_8.csv,341,2136.3,1490.78,0.452334,25.2156,1577.41,26.0177
input/fake_instances/fake_421_1.csv,421,2606.34,1820.93,0.689416,59.3966,1968.47,45.2585
input/fake_instances/fake_414_8.csv,414,3371.46,2258.27,0.702125,36.3334,2483.55,42.4659
input/fake_instances/fake_191_5.csv,191,2439.56,1606.12,0.185708,7.95733,1748.01,7.31762
input/fake_instances/fake_464_1.csv,464,3303.34,2152.09,0.815875,50.2127,2306.35,57.2027
input/fake_instances/fake_451_8.csv,451,3388.92,2191.35,0.776208,45.717,2371.14,56.436
input/fake_instances/fake_442_2.csv,442,3861.82,2551.59,0.825292,58,2792.29,51.6128
input/fake_instances/fake_407_2.csv,407,3245.39,2256.76,0.687458,51.0671,2443.16,40.8445
input/fake_instances/fake_39_5.csv,39,727.328,565.799,0.012875,0.322875,608.479,0.420833
input/fake_instances/fake_112_3.csv,112,1157.68,906.188,0.071833,2.57675,966.055,3.45617
input/fake_instances/fake_9_5.csv,9,370.132,298.805,0.002375,0.044834,339.491,0.038958
input/fake_instances/fake_157_3.csv,157,1820.98,1352.73,0.127083,5.96808,1483.86,5.90092
input/fake_instances/fake_484_4.csv,484,3443.23,2267.17,0.877291,53.4023,2439.49,58.9894
input/fake_instances/fake_171_0.csv,171,1627.4,1059.33,0.140459,6.19521,1137.51,6.23825
input/fake_instances/fake_144_9.csv,144,1624.82,1189.45,0.101792,4.37104,1263.73,4.54042
input/fake_instances/fake_349_1.csv,349,2891.45,1896.31,0.514458,25.9932,2089.38,30.8715
input/fake_instances/fake_339_8.csv,339,2952.88,1918.08,0.515959,24.6109,2126.13,26.1273
input/fake_instances/fake_134_0.csv,134,1458.21,1083.01,0.09175,4.12354,1160.85,3.45175
input/fake_instances/fake_228_5.csv,228,2048.53,1344.41,0.241334,10.7076,1416.33,12.1632
input/fake_instances/fake_101_9.csv,101,1162.14,848.48,0.05175,2.13362,909.919,2.26912
